ID;title;DOI;year
11658;INTRODUCTION: ;10.1097/00005792-192504010-00001;1925
11665;Introduction: ;10.1097/00005792-193002000-00002;1930
11670;Welcome;"10.1002/1097-0142(197204)29:4<820::AID-CNCR2820290403>3.0.CO;2-O";1972
11674;Welcome;10.1145/1275604.1275606;2005
11678;Vorwort;10.1007/BF01513306;1951
11682;Vorschau.;10.1007/BF03176611;2002
11684;Virtuality;10.1145/260750.260761;1997
11688;Virus.;10.1145/281388.282024;1979
11691;VisiPhone;10.1145/311625.311988;1999
11693;Vision;10.1145/312379.313107;1999
11694;Violet;10.1023/A:1005820421829;1997
11697;Variability;;2002
11699;Verification;10.1007/3-540-56733-X_146;1993
11705;VIS;10.1007/BFb0031812;1996
11724;VIROS;10.1145/965333.965374;2003
11728;VoodooIO;10.1145/1179133.1179170;2006
11734;Vestis;10.1145/1186954.1186966;2005
11737;Volflex;10.1145/1187297.1187329;2005
11739;Variation;10.1109/ISQED.2007.165;2007
11752;Versus;10.1145/1281740.1281865;2007
11753;Valediction.;10.1080/13658810701678005;1974
11756;Visualization.;10.1080/J003v01n02_02;1984
11760;Virgile;10.1145/1900264.1900320;2010
11763;Vancouver;10.1109/MAHC.2011.79;2011
11765;Venus;10.1126/science.205.4401.9;1979
11770;Virtualization;10.1109/MIC.2013.42;2013
11776;Väre;10.1145/2503541.2503633;2013
11779;Vorwort.;10.1111/j.1600-0463.1934.tb05979.x;2014
11782;Vorwort;10.1026/1860-7357.5.1.1;2005
11788;Vulnerability;10.1002/qre.1186;2011
11791;Vorwort;10.1007/BF02905797;2014
11796;Vorwort;10.1007/BF02143143;1922
11798;Vorwort;10.1007/BF02149092;1932
11801;Vorwort;10.1007/s11416-008-0113-1;2010
11807;Vorwort;10.1111/j.0954-6820.1939.tb11811.x;2010
11810;Vorwort;10.1046/j.1439-0507.2003.00905.x;2003
11814;Vorwort;10.1016/j.fuspru.2008.06.014;2008
11817;Vouzzavedibisar;;2009
11820;Vouzzavedibisar.;;2009
11822;Vouzzavedibisar;;1982
11824;Vouzzavedibisar.;;2011
11827;VOICE;;2008
11829;Veranstaltungsberichte;10.1007/BF02610436;2001
11832;Vacuuming;;1995
11833;Verification;10.1007/978-0-387-73003-5_9022;2009
11837;Vibescape;10.1145/253607.253710;1996
11839;Valley;10.1145/312379.312534;1999
11841;Valedictory;10.1086/237026;1946
11844;Vorwort;10.3109/00016344709154485;1947
11847;Vorwort;10.1159/000106552;2007
11852;ViSta;10.1007/3-540-45848-4_56;2001
11858;Veridicity;;2005
11863;VoIP;;2006
11865;Vorwort;10.1007/s11620-002-0015-z;2002
11870;Vorwort;10.1016/0304-3479(96)82228-9;1996
11873;Vortwort;10.1016/0255-2701(84)85001-1;1984
11876;Vesper;;1995
11881;Vision;;1978
11885;Unlinkability.;;2011
11886;Untraceability.;;2011
11887;Verbfeldgenerierung;;1992
11891;Videodisc;10.1016/0097-8493(83)90030-4;1983
11895;Undermind;10.1007/BF00413702;1996
11898;Viewing;10.1016/0097-8493(83)90048-1;1983
11901;Visone;;2001
11907;VORWORT;10.1111/j.0954-6820.1940.tb11119.x;2009
11910;VORWORT;10.1111/j.0954-6820.1945.tb15074.x;2009
11913;VRMiner;;2009
11918;Verkehrstelematik;10.1007/s00502-008-0544-x;2008
11923;Vermittlungstechnik;10.1007/s00502-006-0365-8;2006
11926;Veranstaltungskalender;10.1026//1617-6383.14.1.48;2002
11929;Veranstaltungen;10.1007/s00287-003-0285-5;2003
11930;Veranstaltungskalender;10.1007/s767-000-8346-8;2000
11932;Veranstaltungskalender;10.1007/s767-000-8355-7;2000
11933;Veranstaltungskalender;10.1524/icom.4.1.67.61677;2005
11935;Veranstaltungskalender;10.1524/icom.2.3.50.28234;2003
11938;Vorwort;10.1159/000170721;1993
11940;Vorschau.;10.1007/BF03340653;2006
11943;Veranstaltungskalender;10.1524/icom.2006.5.1.80;2006
11946;Veranstltungskalender;10.1026/1860-7357.7.1.44;2007
11948;Veranstaltungsbesprechung;10.1007/s11623-010-0103-6;2010
11950;Veranstaltungsbesprechung;10.1007/s11623-007-0255-1;2007
11952;Veranstaltungsbesprechungen;10.1007/s02045-006-0016-7;2006
11953;Vorratsdatenspeicherung;10.1007/s11623-009-0075-6;2009
11955;Veranstaltungen.;10.1007/s00735-011-0574-1;2013
11957;Vertunnelung;;2000
11958;Verbraucherdatenschutz;10.1007/s11623-007-0159-0;2007
11959;Veranstaltungen.;10.1007/s42354-018-0113-3;2014
11962;Vergeudet;10.1007/s11623-009-0034-2;2009
11963;Veranstaltungsbesprechungen;10.1007/s11623-006-0183-5;2006
11965;Untitled: ;10.1097/ACM.0b013e3181576e68;2007
11968;Vertrauensgrundlagen;10.1007/s11623-010-0085-4;2010
11970;Veranstaltungskalender.;10.1007/s767-1999-8602-8;2012
11971;Veranstaltungsbesprechung;10.1007/s11623-008-0017-8;2008
11973;Value;10.1080/10476210802524891;2007
11975;VCG.;;2008
11976;VampirServer.;;2011
11977;Vampir.;;2011
11980;VNG.;;2011
11981;VampirTrace.;;2011
11982;Vectorization.;;2011
11983;Variance.;;2011
11986;Vagueness.;;2008
11987;Voxel.;;2017
11988;Variogram.;;2017
11989;Vetting.;;2009
11990;Vein.;;2009
11991;VSM.;;2009
11992;VP.;;2009
11993;VDM.;;2009
11994;VSSS.;;2011
11995;Untitled;10.1145/281388.281431;1998
11997;Untitled;10.1353/cal.2002.0031;2002
12000;[Untitled];"10.1639/0007-2745(1907)10[52:U]2.0.CO;2";1907
12003;Viewpoints;10.1177/0967010601032004013;2001
12008;Ultraschallsensorik;10.1007/978-3-8348-9977-4_12;2015
12011;Unknownness;10.1145/2507288.2507318;2013
12014;Underscore;10.1145/280953.281339;1998
12016;Ultracomputers;10.1145/357114.357116;1980
12019;Update;10.1016/0091-2182(85)90152-1;1985
12022;Universalities;10.1007/BF00873298;1994
12025;UNIGRAFIX;;1983
12029;Userradio;10.1145/1027527.1027570;2004
12032;Unwearables;10.1007/s00146-006-0072-3;2007
12037;Usability;10.1080/01449290902910292;2009
12040;Upgrades;10.1145/1836623.1836694;2010
12041;UCLIC;10.1145/2533768;2013
12044;Uncertainties;10.1007/s11948-009-9180-z;2010
12048;Underdetermination;10.1177/1461444899001001003;1999
12051;Upsizing.;;1993
12054;Umweltinformationssysteme;;1996
12057;Termination;10.1007/3-540-15976-2_9;1985
12060;Teletrust;10.1016/0169-7552(87)90038-9;1987
12063;TERMINOLOGY.;10.1126/science.124.3232.1155-b;1951
12067;Trigraphs;10.1016/0012-365X(89)90079-4;1989
12071;Telerobotics;10.1016/0005-1098(89)90093-9;1989
12074;TLex;10.1002/spe.4380210804;1991
12077;Transportation;10.1109/6.476741;1996
12080;Telecommunications;10.1109/6.366231;1995
12083;Telepresence;10.1121/1.404500;1992
12086;Talktalk;;1995
12091;Twister;10.1145/253607.254069;1996
12092;Vorwort;10.1007/BF01807863;1950
12095;Thalassa;10.1145/253607.254226;1996
12097;Technophobia;10.1145/259081.259218;1997
12099;TotaPet;10.1145/259081.259507;1997
12102;Triangulation;10.1006/cviu.1997.0547;1997
12105;Trees;10.1126/science.181.4096.220;1973
12109;Touchware;10.1145/281388.281395;1998
12111;Tierras;10.1145/281388.282012;1998
12113;Tweak;10.1145/280953.289237;1998
12115;Televisors;10.1145/312379.312472;1999
12117;Tangled;10.1145/312379.312498;1999
12118;Tightrope;10.1145/312379.313094;1999
12120;Tribu;10.1145/312379.313099;1999
12121;Trophomotion;10.1145/312379.313101;1999
12123;Trnava;10.1145/312379.314303;1999
12125;UmSys.;;2013
12129;Update;10.1016/S0955-3959(98)00011-5;1998
12132;Vorwort;10.1007/BF01665409;1901
12135;UbiMASS;10.1109/SUTC.2010.38;2010
12141;Underpinning ;10.1007/978-3-540-74122-0_18;2007
12147;Unspeculation;;2003
12153;UB2SQL;;2009
12156;Unfoldings;10.4249/scholarpedia.1904;2006
12158;Ultrafilters.;;2008
12162;Unternehmensportale;10.1524/itit.2006.48.2.69;2006
12165;Unvermeidlich;10.1007/s11623-009-0171-7;2009
12166;Utopienah;;1999
12169;Ultratopologies;10.1002/malq.200310123;2004
12174;UPC.;;2011
12177;Utterance.;;2009
12178;UBM.;;2009
12179;ULW.;;2009
12180;Utility.;;2009
12181;UUID.;;2009
12182;UML.;;2009
12183;URI.;;2009
12184;Targeteer;10.1145/366532.366561;1961
12188;Teleconferencing;10.1108/eb006328;1985
12193;Technocentrism;;1996
12195;Tatzelwurm;10.1007/3-540-58867-1_58;1995
12200;Tables;10.1007/3-540-62034-6_35;1996
12204;Teleservice;;1983
12208;THINKER;10.1007/3-540-16780-3_145;1986
12211;Triangulation;10.1007/3-540-60268-2_296;1995
12214;TITAN;;1998
12219;Teleconsulting;;2001
12223;TLT;10.1007/3-540-58867-1_53;1995
12226;Telecommunications;10.1016/S0267-3649(01)00112-1;2002
12240;TeleZone;;1999
12245;Title.;10.1016/S0920-3796(97)00073-2;2013
12248;Typorganism;10.1145/965333.965373;2003
12251;TensorTextures;10.1145/965400.965508;2003
12255;Title;;1996
12258;Timing;10.1007/BF02372394;2004
12262;TextureMontage;10.1145/1186822.1073325;2005
12272;tRuEcasIng;10.3115/1075096.1075116;2003
12278;Textbooks;10.1145/1086649.1086674;2005
12283;Theros;10.1145/1179196.1179284;2006
12284;TigerboardAG;10.1145/1188455.1188785;2006
12290;Treibgut;10.1145/1179196.1179289;2006
12291;Texola;10.1145/1185884.1185892;2004
12294;Thresholds.;10.1145/1279740.1279852;2007
12298;ToyShop;10.1145/1281740.1281861;2007
12301;Topoglyphs;10.1109/TC.1978.1675051;1978
12306;Tarboy;10.1145/1400468.1400543;2008
12308;Tezcatlipoca;10.1145/1596685.1596815;2009
12310;Thermotaxis;10.1145/1599301.1599319;2009
12315;TERMINATOR;;1983
12319;Topi;10.1145/1665208.1665273;2009
12321;Ted;10.1145/1281740.1281859;2007
12323;TypeTrace;10.1145/1291233.1291318;2007
12325;Tengible;10.1145/1665137.1665177;2009
12327;Telexistence;;2009
12330;TYPEFACE;10.1145/1836845.1836893;2010
12333;Thrii;10.1145/1873951.1874235;2010
12345;Telepresence;10.1518/001872098779591386;1999
12351;TeachScheme!;10.1145/1953163.1953165;2011
12356;Technology.;10.1021/es00052a714;1998
12358;Telecommunications;;2012
12365;Transportation;;2012
12371;ThinkingGarden;10.1145/2393347.2396529;2012
12377;Testers;10.1145/2429135.2429142;2013
12381;TransWall;10.1145/2503368.2503382;2013
12390;Traceless;10.1145/2503541.2503629;2013
12393;#TAIA2012;10.1145/2422256.2422270;2012
12403;Thermobooth;10.1145/2540031;2014
12408;Telearbeit;;1997
12411;Tabloïdes;10.1016/0095-8956(79)90060-1;1979
12415;Thermocommunication.;;2009
12421;Telethings;10.1002/qre.1086;2009
12423;Tribute;10.1006/cviu.1997.0660;1997
12427;Tagungsbericht;10.1007/BF02234371;1966
12430;Teleteaching.;;2000
12431;TELESERVICE.;;1981
12434;Trends;10.1080/15567280500541496;2006
12436;title];;2005
12441;Transcoding.;;2008
12445;Transaktionssysteme;;1988
12448;TinyDDS;;2010
12451;Telecommunications;10.1016/0267-3649(91)90090-I;1991
12456;Typinferenzsysteme;;1986
12459;Transputerpraktikum;;1992
12461;Trace;;2008
12464;TOURISM;;2009
12466;Transparance;10.1145/253607.254067;1996
12468;Tanabata;10.1145/259081.259499;1997
12469;Tutorials;10.1109/ISITC.2007.90;2003
12472;Telecardiology;10.1007/3-540-60025-6_162;1995
12478;Title;10.1016/S0167-5273(01)00499-5;2001
12482;Turbulence;10.1016/S0074-6142(10)09909-2;2011
12489;Telecommunications;10.1145/1500518.1500535;1980
12492;-Tropos;10.1007/978-3-540-88833-8_9;2007
12500;TripleRush.;;2013
12507;Text2Onto;10.1007/11428817_21;2005
12513;Tensegrity.;;2012
12517;Tritonia;10.4249/scholarpedia.3504;2007
12519;Teleofunctionalism;10.4249/scholarpedia.5358;2008
12522;TheVirtualBrain.;;2013
12527;Tagungen;10.1002/nadc.19990470216;2010
12532;T;10.1016/j.fss.2006.05.015;2006
12549;Trimming.;;1998
12554;Topology.;;2004
12557;Trigonometries.;;2002
12560;Title.;10.18821/0869-2084-2018-63-1-44-50;1982
12562;Title.;;1988
12564;Title.;;1975
12566;Title.;;1989
12568;Title.;;1991
12569;Title.;;1979
12571;Title.;;1986
12573;Title.;;1976
12575;Title.;;1973
12577;Title.;;1985
12579;Title.;;1976
12580;Title.;;1980
12582;TAROS2011.;;2012
12591;Trees;;1971
12594;Transparenz.;10.1007/s42354-018-0018-1;2014
12595;Tarim;10.1007/s11623-008-0056-1;2008
12596;Trustworthiness;;2002
12597;Taufe;10.1007/s11623-007-0101-5;2007
12598;Themenvorschau;;2004
12599;Themenvorschau.;;2004
12600;Toolbox;;1991
12603;Toolbox;;1994
12605;Truthful.;;2008
12606;TStreams.;;2011
12607;TLS.;;2011
12608;Tensilica.;;2011
12609;Torus.;;2011
12610;TOP500.;;2011
12611;TAU.;;2011
12616;Tracing.;;2011
12617;Transpose.;;2011
12618;TSAR;10.1145/1619258.1619312;2009
12623;Titanium.;;2011
12633;Trackability.;;2012
12637;Type.;;2017
12638;Tutorials.;10.1111/j.1744-6155.2005.0015b.x;2014
12645;Tagging.;;2017
12646;Title;10.1016/j.ajog.2003.08.047;2004
12651;Trait.;;2017
12652;TAN.;;2017
12653;TSP.;;2017
12654;Toponym.;;2017
12655;TIN.;;2009
12656;Temporal.;;2017
12657;Template.;;2009
12658;TFIR.;;2009
12659;Tensor.;;2009
12660;TPQ.;;2009
12661;tgd.;;2009
12662;Task.;;2009
12663;TinySQL.;;2009
12664;Title;10.1016/S0166-445X(98)00045-9;1998
12667;Tapes.;;2009
12668;Twigs.;;1999
12670;TinyDB.;;2009
12671;Tour.;;2009
12672;TP.;;2009
12673;Token.;;2011
12674;TWOFISH.;;2011
12675;TPM.;;2011
12677;Trojan.;;2011
12678;TSS.;;2011
12679;TWIRL.;;2011
12681;TREMOR.;10.1016/j.neulab.2008.05.004;1957
12687;Tribute;10.1016/j.disc.2004.10.004;2005
12691;Tulip;10.1007/3-540-45848-4_34;2001
12694;TYMNET;;1976
12696;TLZ;;1994
12700;Transitions;10.1016/0364-6408(91)90070-U;1991
12703;TABS;10.1007/BFb0042330;1986
12706;Tutorials.;;2013
12710;Thalamus;10.4249/scholarpedia.1583;2006
12713;Turf;10.1038/164337b0;1949
12715;Turfing;10.1287/opre.25.3.367;1977
12719;Titelei;10.1515/piko.1986.9.2.0;1986
12722;Transitivitätsbedingungen;10.1002/malq.19820280404;1982
12725;Termine;10.1007/s103-002-8396-9;2002
12728;SIRE;10.1145/1013234.803145;1978
12731;Standards;10.1145/982996.983033;1982
12735;Soundscapes;10.1145/1013115.1013168;2004
12739;SPURport;10.1109/HPDC.2004.33;2004
12747;SonicTexting;10.1145/1056808.1056854;2005
12749;Standards;10.1016/j.knee.2004.09.001;2003
12752;Sonictroller;;2005
12755;Sequential?;10.1016/j.tcs.2006.01.028;2006
12761;Suba;10.1145/1179196.1179283;2006
12764;Slink;10.1145/1179849.1180029;2006
12766;Swarm;10.1145/1186155.1186182;2004
12768;SpotScents;10.1145/1187297.1187317;2005
12776;SUIRIN;10.1145/1187297.1187320;2005
12778;Scholarship.;10.1021/es00121a707;1984
12782;Symmetrization;10.1145/1275808.1276456;2007
12788;Scattershot;10.1145/1086057.1086172;2005
12789;Sucker;10.1145/1186015.1186100;2004
12792;Songhua;10.1145/1280120.1280206;2007
12794;Sensity.;10.1145/1279740.1279851;2007
12797;Salad;10.1145/1280120.1280241;2007
12798;Synaesthetics;10.1145/1280720.1280723;2007
12802;Syllabus;10.1145/1281500.1281562;2007
12805;Space.;10.1126/science.203.4379.418-a;1979
12809;STORM;10.1145/1281740.1281855;2007
12811;Superman;10.1145/1281740.1281856;2007
12813;swirl;10.1145/1281740.1281858;2007
12816;Squidsoup;10.1145/1321261.1321323;2007
12821;Sensemaking;10.1145/1358628.1358972;2008
12826;Shark;10.1145/1390681.1390714;2008
12832;Snowtime;10.1145/1400468.1400542;2008
12833;Succincter;10.1109/FOCS.2008.83;2008
12836;SEI;10.1145/1501750.1501855;2008
12842;Salia;10.1145/1596685.1596799;2009
12844;Scab;10.1145/1596685.1596800;2009
12846;Sensorium;10.1145/1596685.1596804;2009
12848;Symphony;10.1145/1596685.1596813;2009
12849;Somnambule;10.1145/1631272.1631520;2009
12852;scoreLight;10.1145/1665137.1665144;2009
12858;Slurb;10.1145/1665137.1665179;2009
12860;Soundanism.;10.1145/1279740.1279856;2007
12867;Seismonasty;10.1145/1400885.1400986;2008
12868;Sponsors.;10.1111/resp.12508;2015
12871;SystemC;10.1057/ori.2002.6;2001
12883;StreamMiner;;2010
12885;Stability;10.4249/scholarpedia.1838;2006
12887;Skylight;10.1145/1900264.1900292;2010
12890;Sakura;10.1145/1900264.1900310;2010
12892;Sintel;10.1145/1900264.1900346;2010
12895;Sabotage!;10.1109/MC.2010.323;2010
12897;Sidetrack;10.1145/1935701.1935797;2010
12903;Specification;10.1007/s11023-011-9239-x;2011
12907;SoundPainter;10.1145/2069618.2069738;2011
12919;SolarBurst;10.1145/2148131.2148205;2012
12922;Suiren;10.1145/1836623.1836686;2010
12925;Strength;;2002
12930;Skewincidence;10.1109/TIT.2011.2161753;2011
12937;Stackabilization;10.1145/2366145.2366177;2012
12948;SGDA2012;10.1007/978-3-642-33542-6_62;2012
12958;Stookie;10.1145/2407156.2407199;2012
12968;Samalu;10.1145/2413076.2413085;2012
12971;SideKick;10.1145/2503541.2503618;2013
12974;Sleddin';10.1145/2503541.2503619;2013
12977;Stretching;10.1007/s001320050183;1996
12980;Square;10.1145/2503541.2503625;2013
12983;Sonata;10.1145/2542398.2542400;2013
12986;SpyFox;10.1145/2542398.2542439;2013
12988;Solus;10.1145/2542398.2542471;2013
12991;Sonosemantics;10.1145/2544114.2544126;2013
12997;Snakuscules.;10.1109/TIP.2007.914742;2008
13003;SplashDisplay;10.1145/2331714.2331746;2012
13012;Supercomputers;10.1145/2425676.2425696;2013
13015;Shelved;10.1145/2503541.2503617;2014
13018;Stress;10.1145/2542398.2542415;2013
13021;Spacebound;10.1145/2542398.2542442;2013
13023;Suchwerkzeuge;;1998
13026;Sicherheitsaspekte;;1996
13029;Software.;;2006
13033;Sponsors.;;2006
13036;SUMA.;;2012
13039;SemantiClean;10.1007/s10579-009-9080-5;2008
13046;Scientometrics;;2011
13049;Scrambling;10.1111/j.1749-818X.2008.00095.x;2008
13051;Syncretism;10.1111/j.1749-818X.2007.00024.x;2007
13054;SIGEST;10.1137/SIREAD000051000003000591000001;2009
13056;SIGEST;10.1137/SIREAD000048000002000327000001;2002
13059;SIGEST;10.1137/SIREAD000052000004000715000001;2010
13062;SIGEST;10.1137/SIREAD000048000001000097000001;2001
13064;SIGEST;10.1137/SIREAD000052000001000111000001;2013
13067;SIGEST;;2000
13070;Souvenirs..;;1982
13073;Statuts;;1991
13075;SuperJANET;;1993
13078;'Slimming.'.;10.1016/B978-0-12-373553-9.00262-5;1991
13082;SPAM.;;2003
13083;Standardisierung.;;2001
13084;Systembiologie;10.1524/auto.2008.9053;2008
13087;Scientostochastics?;10.1007/BF02018131;1994
13091;Standards;10.1109/JRPROC.1947.229949;1947
13094;SRAM.;;2007
13097;Simulationstechnik;;1979
13101;Sommaire.;10.1007/s11609-006-0226-7;2014
13104;SOMMAIRE;;2010
13108;Sommaire.;;2012
13110;Sommaire.;;2012
13111;Spotlight;10.1145/2727004;2015
13114;Still;10.1353/mis.2006.0109;2005
13118;Similarity;10.1007/978-3-540-73180-1_2;2008
13123;Snip!;;2011
13128;Search;;1997
13131;SAMOS;10.1007/978-1-4419-8656-6_12;1999
13133;Summary;10.1016/S8755-7223(05)80147-4;1990
13138;Suchmaschinen;;2003
13144;STORZart;10.1145/253607.253736;1996
13146;Sakuratei;10.1145/253607.254043;1996
13148;Slides;10.1016/S1076-6332(96)80231-5;1996
13151;Sponsors.;;2004
13153;Support.;10.1016/S0140-6736(03)15304-4;2004
13156;SYMPOSIA.;10.1126/science.88.2274.89;1938
13160;Schizophrenia;10.1016/S0140-6736(09)60995-8;2009
13165;Superlattices;10.1016/0141-9331(84)90008-5;1984
13168;Summaries;10.1016/j.tmaid.2004.02.005;2000
13171;Summaries;10.1016/j.tmaid.2004.08.001;2005
13173;""" SCIATICA """;10.1016/S0140-6736(00)72002-2;1941
13176;Testing;10.1007/BF01507562;1924
13180;SugiBib;10.1007/3-540-45848-4_49;2001
13183;Spam;;2006
13185;Spam;;2006
13187;SNMP;;2006
13188;Samba;;2007
13190;Samba;;2004
13192;SOCKS.;;1992
13197;Sociometrics.;;2006
13200;SupercalifragilisticexpialiDotStat.;;2013
13203;Stoffstrommanagement;;1994
13206;Soccertrend;;2007
13212;Spreadviews;;1991
13218;Softwareentwicklungsumgebungen;;1984
13222;Speccast;;2004
13229;Scope;10.1145/570423.570424;1983
13232;Sliders.;;2002
13236;SimpleOrAggregated.;;2010
13240;SinusEndoscopy;10.1007/978-3-540-78640-5_59;2008
13246;Software;10.1145/1499949.1499992;1975
13249;Security;10.1007/978-3-540-74991-2_16;2007
13257;Sophie;10.1109/C5.2009.16;2009
13265;Students;10.1109/ISDA.2008.113;2008
13270;SAMMI;10.1007/978-3-540-77051-0_39;2007
13278;Strangeness.;;2006
13284;Simple4all.;;2014
13288;SwissAnalyst;10.1007/1-4020-8151-0_34;2004
