2;10225
2;10810
2;15003
2;12541
10;36685
10;19256
10;38480
10;25631
26;34
26;18391
26;18152
26;170
48;19272
48;38623
48;17
48;6645
72;18333
72;16776
72;17396
81;16861
81;18253
81;12877
88;10645
88;23062
88;20779
88;53
97;17850
97;16972
97;19892
106;10192
106;16810
106;15008
106;38479
117;16945
117;17233
117;7416
140;17733
140;17185
140;21
147;27821
147;16973
147;10637
168;12288
168;18327
168;12879
197;12875
197;12238
197;17658
209;10507
209;213
209;4406
209;39532
234;23542
234;16657
234;18404
249;38061
249;16831
249;22
249;33249
253;9357
253;16907
253;17042
253;16992
258;25631
258;16879
258;7983
258;33249
262;9938
262;9935
262;18435
262;50
270;17161
270;9939
270;17854
276;22964
276;16758
276;8665
276;16929
282;17992
282;10582
282;29027
305;18281
305;12540
305;38699
309;17621
309;10810
309;17047
320;17715
320;10189
320;17714
320;24085
370;18409
370;16793
370;17617
370;10140
375;17754
375;10577
375;16814
385;16874
385;17163
385;17164
385;18189
389;6645
389;10522
389;17720
389;6648
393;2985
393;39495
393;38060
393;16961
399;19412
399;17230
399;17187
399;16738
403;18076
403;16714
403;12231
407;16346
407;171
407;16857
407;17047
412;17490
412;18391
412;8477
416;38700
416;15004
416;34323
416;36417
437;17274
437;17617
437;17205
437;18131
441;25517
441;171
441;17031
441;15002
446;34321
446;10520
446;10136
446;16856
450;19224
450;38069
450;38478
450;17776
455;17727
455;17730
455;16837
459;10636
459;19237
459;24043
463;17718
463;10187
463;10187
481;17378
481;17815
481;11517
481;10639
488;2989
488;11522
488;11307
493;17442
493;17186
493;27561
493;243
499;19195
499;17332
499;17571
499;6642
505;18341
505;19373
505;20777
505;19254
510;17855
510;17733
510;24086
510;16581
544;39836
544;7984
544;16839
544;17381
549;12
549;6643
549;19141
549;17384
557;18434
557;38069
557;17377
571;16657
571;33778
571;23064
576;32389
576;18201
576;17019
576;323
582;17714
582;17571
582;12236
582;16834
586;17365
586;12233
586;27822
622;12234
622;19320
622;10509
622;18198
633;29
633;12543
633;23064
633;11183
638;16933
638;8432
638;19234
638;19273
642;16712
642;17968
642;17330
650;22331
650;17573
650;18387
657;18326
657;6472
657;18075
657;17148
683;8671
683;18710
683;17754
683;4403
688;19144
688;9353
688;16606
688;12289
699;19271
699;17990
699;18200
718;16699
718;29029
718;17720
726;17377
726;23542
726;15007
726;28354
743;17205
743;10223
743;10577
743;17115
752;35741
752;25632
752;17394
752;19374
759;16832
759;16909
759;9622
759;18233
766;10802
766;16883
766;17477
770;16809
770;10805
770;172
773;18405
773;24067
773;17309
773;32393
779;17963
779;17382
779;16349
779;17018
783;18408
783;12539
783;16980
786;327
786;16606
786;18369
796;12881
796;16993
796;17967
796;10583
806;26575
806;50
806;17117
810;29031
810;16837
810;17630
822;8673
822;16632
822;15010
822;17755
829;17273
829;38702
829;24042
829;16879
836;16945
836;19146
836;10138
836;17728
839;7985
839;18150
839;17438
843;16835
843;16876
843;16900
843;17143
851;12881
851;38698
851;16930
858;17928
858;18544
858;17329
862;19895
862;38623
862;15238
862;22329
881;18150
881;16858
881;18544
893;10144
893;18250
893;18433
898;17517
898;19892
898;10809
903;16580
903;178
903;7983
907;16911
907;10140
907;24043
913;19039
913;35
913;19140
920;16796
920;17815
920;9627
920;38061
924;6479
924;17617
924;23063
924;29052
943;178
943;16659
943;18154
943;11183
960;38698
960;18386
960;18057
960;16896
967;9938
967;16927
967;17189
967;19254
973;36422
973;17350
973;10580
973;18326
977;17231
977;19276
977;16960
977;12874
986;6481
986;16736
986;17610
990;19275
990;18188
990;38621
998;17273
998;18474
998;17165
1004;19895
1004;18370
1004;17966
1004;8435
1015;8433
1015;11518
1015;36
1018;214
1018;8229
1018;17609
1023;11520
1023;9939
